date,country,cases,deaths
11/26/2014,Spain,1,0
11/26/2014,US ,4,1
12/1/2014,Guinea,1921,1102
12/1/2014,Liberia,2801,0
12/1/2014,Mali,7,0
12/1/2014,Nigeria,19,7
12/1/2014,Senegal,1,0
12/1/2014,Sierra Leone,5831,1321
12/1/2014,Spain,1,0
12/1/2014,US ,4,1
12/3/2014,Guinea,1929,1117
12/3/2014,Liberia,2801,0
12/3/2014,Mali,7,0
12/3/2014,Nigeria,19,7
12/3/2014,Senegal,1,0
12/3/2014,Sierra Leone,5978,1374
12/3/2014,Spain,1,0
12/3/2014,US ,4,1
12/10/2014,Guinea,2051,1207
12/10/2014,Liberia,2830,0
12/10/2014,Mali,7,0
12/10/2014,Nigeria,19,7
12/10/2014,Senegal,1,0
12/10/2014,Sierra Leone,6375,1559
12/10/2014,Spain,1,0
12/10/2014,US ,4,1
12/15/2014,Guinea,2115,1255
12/15/2014,Liberia,2946,0
12/15/2014,Mali,7,0
12/15/2014,Nigeria,19,7
12/15/2014,Senegal,1,0
12/15/2014,Sierra Leone,6638,1824
12/15/2014,Spain,1,0
12/15/2014,US ,4,1
12/17/2014,Guinea,2127,1262
12/17/2014,Liberia,2946,0
12/17/2014,Mali,7,0
12/17/2014,Nigeria,19,7
12/17/2014,Senegal,1,0
12/17/2014,Sierra Leone,6702,1876
12/17/2014,Spain,1,0
12/17/2014,US ,4,1
12/22/2014,Guinea,2259,1323
12/22/2014,Liberia,3085,0
12/22/2014,Mali,7,0
12/22/2014,Nigeria,19,7
12/22/2014,Senegal,1,0
12/22/2014,Sierra Leone,6975,2190
12/22/2014,Spain,1,0
12/22/2014,US ,4,1
12/23/2014,Guinea,2284,1344
12/23/2014,Liberia,3085,0
12/23/2014,Mali,7,0
12/23/2014,Nigeria,19,7
12/23/2014,Senegal,1,0
12/23/2014,Sierra Leone,7017,2216
12/23/2014,Spain,1,0
12/23/2014,US ,4,1
12/24/2014,Guinea,2284,1344
12/24/2014,Liberia,3085,0
12/24/2014,Mali,7,0
12/24/2014,Nigeria,19,7
12/24/2014,Senegal,1,0
12/24/2014,Sierra Leone,7017,2216
12/24/2014,Spain,1,0
12/24/2014,US ,4,1
12/26/2014,Guinea,2342,1385
12/26/2014,Liberia,3085,0
12/26/2014,Mali,7,0
12/26/2014,Nigeria,19,7
12/26/2014,Senegal,1,0
12/26/2014,Sierra Leone,7160,2289
12/26/2014,Spain,1,0
12/26/2014,US ,4,1
12/29/2014,Guinea,2384,1422
12/29/2014,Liberia,3108,0
12/29/2014,Mali,7,0
12/29/2014,Nigeria,19,7
12/29/2014,Senegal,1,0
12/29/2014,Sierra Leone,7326,2366
12/29/2014,Spain,1,0
12/29/2014,US ,4,1
12/30/2014,Guinea,2397,1433
12/30/2014,Liberia,3108,0
12/30/2014,Mali,7,0
12/30/2014,Nigeria,19,7
12/30/2014,Senegal,1,0
12/30/2014,Sierra Leone,7354,2392
12/30/2014,Spain,1,0
